company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
osaÃ¼hingSparkKaubandus(10288568),,,,[],,,01.10.1997,,10288568.0,,,,,,https://ariregister.rik.ee/eng/company/10288568/osaÃ¼hing-Spark-Kaubandus?search_id=6b4eef4&pos=1142,,,,wissel-ariregister
SparkleAutoOsaÃ¼hing(11444013),,,,[],,,29.10.2007,,11444013.0,,,,,,https://ariregister.rik.ee/eng/company/11444013/Sparkle-Auto-OsaÃ¼hing?search_id=6b4eef4&pos=1143,,,,wissel-ariregister
SparkleGemsandJewelleryOÃœ(16582375),,,,[],,,28.09.2022,,16582375.0,,,,,,https://ariregister.rik.ee/eng/company/16582375/Sparkle-Gems-and-Jewellery-OÃœ?search_id=6b4eef4&pos=1144,,,,wissel-ariregister
SparkleHoldingOÃœ(16281685),Retail sale of watches and jewellery in specialised stores,,,[],,Harju maakond Harku vald Tabasalu alevik Kiili tn 5 76901   ,30.07.2021,,16281685.0,,,,,,https://ariregister.rik.ee/eng/company/16281685/Sparkle-Holding-OÃœ?search_id=6b4eef4&pos=1145,,,Jainil Mukesh Kothari,wissel-ariregister
SparkleOÃœ(16349609),Activities of holding companies,,,[],,Harju maakond Kose vald Kose alevik Pikk tn 101 75101   ,25.10.2021,,16349609.0,,,,,,https://ariregister.rik.ee/eng/company/16349609/Sparkle-OÃœ?search_id=6b4eef4&pos=1146,,,Marek P\xc3\xa4rtel,wissel-ariregister
SparkleServicesOÃœ(14926681),"Restaurants, cafeterias and other catering places",,,[],,,03.03.2020,,14926681.0,,,,,,https://ariregister.rik.ee/eng/company/14926681/SparkleServices-OÃœ?search_id=6b4eef4&pos=1147,,,Pille Kirsipuu,wissel-ariregister
SparkleSolutionsOÃœ(16293004),Other business support service activities n.e.c.,,,[],,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Telliskivi tn 57 10412   ,16.08.2021,,16293004.0,,,,,,https://ariregister.rik.ee/eng/company/16293004/SparkleSolutions-OÃœ?search_id=6b4eef4&pos=1148,,,Inga Jafarova,wissel-ariregister
OsaÃ¼hingSparkles(10809369),"Data processing, hosting and related activities",,,[],,Harju maakond Tallinn Pirita linnaosa Supluse pst 1 11911   ,19.10.2001,,10809369.0,,,,,,https://ariregister.rik.ee/eng/company/10809369/OsaÃ¼hing-Sparkles?search_id=6b4eef4&pos=1149,,,Pieter Maurits Jansen,wissel-ariregister
SparkleStudioOÃœ(12568415),Rental and operating of own or leased real estate,,,[],,Harju maakond Tallinn Kesklinna linnaosa J. Vilmsi tn 58-29 10115   ,12.11.2013,,12568415.0,,,,,,https://ariregister.rik.ee/eng/company/12568415/Sparkle-Studio-OÃœ?search_id=6b4eef4&pos=1150,,,Leonid Tsenter,wissel-ariregister
SparkLifeOÃœ(14601230),Computer programming activities,,,[],,Harju maakond Tallinn NÃµmme linnaosa PÃ¤rnu mnt 500-5 10915   ,06.11.2018,,14601230.0,,,,,,https://ariregister.rik.ee/eng/company/14601230/SparkLife-OÃœ?search_id=6b4eef4&pos=1151,,,Anna Lositski,wissel-ariregister
