company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,company_age,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
AIA,,,['Insurance'],[],[],,,[],,,,,,,,,,,,campaignindia
Singapore,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Lipton,,,['Tea'],[],[],,,[],,,,,,,,,,,,campaignindia
Marlboro,,,['Cigarette'],[],[],,,[],,,,,,,,,,,,campaignindia
MasterKong,,,['Instant Noodles'],[],[],,,[],,,,,,,,,,,,campaignindia
MasterCard,,,['Credit Card'],[],[],,,[],,,,,,,,,,,,campaignindia
Gatorade,,,['Sports Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
Gucci,,,['Luxury Fashion Retailer'],[],[],,,[],,,,,,,,,,,,campaignindia
Kellogg’s,,,['Cereal'],[],[],,,[],,,,,,,,,,,,campaignindia
Heineken,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Daikin,,,['Air Conditioner'],[],[],,,[],,,,,,,,,,,,campaignindia
Head & Shoulders,,,['Shampoo'],[],[],,,[],,,,,,,,,,,,campaignindia
SK-II,,,['Female Skincare Product'],[],[],,,[],,,,,,,,,,,,campaignindia
Wrigley’s Arrow,,,['Chewing/Bubble Gum'],[],[],,,[],,,,,,,,,,,,campaignindia
Sanyo,,,['Consumer Electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
Amul,,,['Milk powder/Milk/Ice-cream'],[],[],,,[],,,,,,,,,,,,campaignindia
Hyundai,,,['Car/Automobile'],[],[],,,[],,,,,,,,,,,,campaignindia
Lancomé,,,['Cosmetics/Fagrance/Female Skincare'],[],[],,,[],,,,,,,,,,,,campaignindia
Seiko,,,['Watch'],[],[],,,[],,,,,,,,,,,,campaignindia
Wall’s,,,['Ice-cream'],[],[],,,[],,,,,,,,,,,,campaignindia
Casio,,,['Watch'],[],[],,,[],,,,,,,,,,,,campaignindia
Xbox,,,['Gaming Console'],[],[],,,[],,,,,,,,,,,,campaignindia
Tesco,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
NTUC FairPrice,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Whirlpool,,,['White Goods'],[],[],,,[],,,,,,,,,,,,campaignindia
Olay,,,['Female Skincare Product'],[],[],,,[],,,,,,,,,,,,campaignindia
HTC,,,['Mobile Phone'],[],[],,,[],,,,,,,,,,,,campaignindia
Evian,,,['Mineral Water'],[],[],,,[],,,,,,,,,,,,campaignindia
Haier,,,['Consumer Electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
Sunsilk,,,['Shampoo'],[],[],,,[],,,,,,,,,,,,campaignindia
Hilton,,,['Hotel'],[],[],,,[],,,,,,,,,,,,campaignindia
Cathay Pacific,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Heinz,,,['Baby Food (excluding milk powder)'],[],[],,,[],,,,,,,,,,,,campaignindia
Sony Ericsson,,,['Mobile Phone'],[],[],,,[],,,,,,,,,,,,campaignindia
100 Plus,,,['Sports Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
Morinaga,,,['Sweets and Candy'],[],[],,,[],,,,,,,,,,,,campaignindia
Breeze,,,['Detergent'],[],[],,,[],,,,,,,,,,,,campaignindia
Caltex,,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Vodafone,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Esso,,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Johnson & Johnson,,,['Personal Care'],[],[],,,[],,,,,,,,,,,,campaignindia
Calvin Klein,,,['Fragrance/Perfume/Luxury Fashion Retailer'],[],[],,,[],,,,,,,,,,,,campaignindia
Kingfisher,,,['Beer/Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Fujitsu,,,['Computer'],[],[],,,[],,,,,,,,,,,,campaignindia
Guardian,,,['Pharmacy/Drugstore'],[],[],,,[],,,,,,,,,,,,campaignindia
Suzuki,,,['Motorcycle'],[],[],,,[],,,,,,,,,,,,campaignindia
Baskin Robbins,,,['Ice-cream'],[],[],,,[],,,,,,,,,,,,campaignindia
Lenovo,,,['Computer'],[],[],,,[],,,,,,,,,,,,campaignindia
Omega,,,['Watch'],[],[],,,[],,,,,,,,,,,,campaignindia
Louis Vuitton (LV),,,['Luxury Fashion Retailer'],[],[],,,[],,,,,,,,,,,,campaignindia
Wellcome,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Coles,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Armani,,,['Men’s Fashion Retailer'],[],[],,,[],,,,,,,,,,,,campaignindia
Lee Kum Kee,,,['Sauce/Condiment'],[],[],,,[],,,,,,,,,,,,campaignindia
Johnnie Walker,,,['Spirits'],[],[],,,[],,,,,,,,,,,,campaignindia
Reebok,,,['Sporting Apparel'],[],[],,,[],,,,,,,,,,,,campaignindia
Lay’s,,,['Snack Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Marigold,,,['Fruit Juice'],[],[],,,[],,,,,,,,,,,,campaignindia
Circle K,,,['Convenience Store'],[],[],,,[],,,,,,,,,,,,campaignindia
Harley Davidson,,,['Motorcycle'],[],[],,,[],,,,,,,,,,,,campaignindia
Goodyear,,,['Tyre'],[],[],,,[],,,,,,,,,,,,campaignindia
Quaker,,,['Cereal'],[],[],,,[],,,,,,,,,,,,campaignindia
Carlsberg,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Puma,,,['Sporting Equipment/Apparel'],[],[],,,[],,,,,,,,,,,,campaignindia
Jetstar,,,['Budget Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
