company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Noctua,Consumer goods,,,,2005,,,,,,,,,,,,Computer cooling systems,,,,MalPatSaj-wikipedia-org
ÖAF,Consumer goods,,,,1907,,,,,,,,,,,,"Automotive, now part of MAN SE",,,,MalPatSaj-wikipedia-org
ÖBB,Industrials,,,,1923,,,,,,,,,,,,State railways,,,,MalPatSaj-wikipedia-org
OMV,Oil & gas,,,,1956,,,,,,,,,,,,"Petroleum, Global 500 firm",,,,MalPatSaj-wikipedia-org
Onepharm,Health care,,,,2005,,,,,,,,,,,,Biopharma,,,,MalPatSaj-wikipedia-org
Österreichische Industrieholding AG,Financials,,,,1967,,,,,,,,,,,,Government stockholder,,,,MalPatSaj-wikipedia-org
Österreichische Post,Logistics,,,,1999,,,,,,,,,,,,Postal services,,,,MalPatSaj-wikipedia-org
Palfinger,Industrials,,,,1932,,,,,,,,,,,,Cranes for trucks,,,,MalPatSaj-wikipedia-org
Pfanner,Consumer goods,,,,1856,,,,,,,,,,,,Beverages,,,,MalPatSaj-wikipedia-org
Piatnik & Söhne,Consumer goods,,,,1824,,,,,,,,,,,,Playing cards,,,,MalPatSaj-wikipedia-org
Plansee Group,Basic materials,,,,1921,,,,,,,,,,,,Powder metallurgy,,,,MalPatSaj-wikipedia-org
Puch,Consumer goods,,,,1899,,,,,,,,,,,,"Bikes, now part of Magna Steyr",,,,MalPatSaj-wikipedia-org
Raiffeisen,Financials,,,,1927,,,,,,,,,,,,Banking,,,,MalPatSaj-wikipedia-org
Red Bull GmbH,Consumer goods,,,,1987,,,,,,,,,,,,Beverages,,,,MalPatSaj-wikipedia-org
RHI AG,Industrials,,,,1834,,,,,,,,,,,,Fireproof industry,,,,MalPatSaj-wikipedia-org
Rosenbauer,Industrials,,,,1866,,,,,,,,,,,,Fire vehicles,,,,MalPatSaj-wikipedia-org
Rotax,Industrials,,,,1920,,,,,,,,,,,,"Aircraft, marine & vehicle engines, now part of Bombardier Recreational Products",,,,MalPatSaj-wikipedia-org
Runtastic,Technology,,,,2009,,,,,,,,,,,,Smartphone apps,,,,MalPatSaj-wikipedia-org
Semperit,Basic materials,,,,1824,,,,,,,,,,,,Rubber products,,,,MalPatSaj-wikipedia-org
SKIDATA,Industrials,,,,1977,,,,,,,,,,,,Access systems,,,,MalPatSaj-wikipedia-org
Steyr Mannlicher,Industrials,,,,1864,,,,,,,,,,,,Weapons and cars; see Magna Steyr,,,,MalPatSaj-wikipedia-org
Steyr Motors GmbH,Industrials,,,,2001,,,,,,,,,,,,Diesel engines,,,,MalPatSaj-wikipedia-org
Steyr Tractor,Consumer goods,,,,1907,,,,,,,,,,,,"Tractors, now part of CNH Industrial",,,,MalPatSaj-wikipedia-org
Strabag,Industrials,,,,1835,,,,,,,,,,,,Construction,,,,MalPatSaj-wikipedia-org
Stroh,Consumer goods,,,,1832,,,,,,,,,,,,Rum,,,,MalPatSaj-wikipedia-org
Swarovski,Consumer goods,,,,1895,,,,,,,,,,,,Jewelry and optical instruments,,,,MalPatSaj-wikipedia-org
Taurob,Robotics,,,,2010,,,,,,,,,,,,Robots for hazardous environments,,,,MalPatSaj-wikipedia-org
Telekom Austria,Telecommunications,,,,1998,,,,,,,,,,,,Telecom,,,,MalPatSaj-wikipedia-org
TourRadar,Consumer services,,,,2010,,,,,,,,,,,,"Multi-day group tours, tour booking service",,,,MalPatSaj-wikipedia-org
Tushek&Spigel Supercars,Consumer goods,,,,2012,,,,,,,,,,,,Super sport cars,,,,MalPatSaj-wikipedia-org
Uniqa,Financials,,,,1922,,,,,,,,,,,,Insurance,,,,MalPatSaj-wikipedia-org
Verbund,Utilities,,,,1947,,,,,,,,,,,,"Utilities, hydroelectric",,,,MalPatSaj-wikipedia-org
Vienna Insurance Group,Financials,,,,1824,,,,,,,,,,,,Insurance,,,,MalPatSaj-wikipedia-org
Voestalpine,Basic materials,,,,1938,,,,,,,,,,,,Steelmaker,,,,MalPatSaj-wikipedia-org
Wienerberger,Industrials,,,,1819,,,,,,,,,,,,Bricks,,,,MalPatSaj-wikipedia-org
Zumtobel Lighting Group,Industrials,,,,1950,,,,,,,,,,,,Lighting,,,,MalPatSaj-wikipedia-org
Abelag Aviation,Consumer services,,,,1964,,,,,,,,,,,,Charter airline,,,,MalPatSaj-wikipedia-org
Ablynx,Health care,,,,2001,,,,,,,,,,,,Biopharma,,,,MalPatSaj-wikipedia-org
Ackermans & van Haaren,Conglomerates,,,,1876,,,,,,,,,,,,"Construction, real estate, financial services",,,,MalPatSaj-wikipedia-org
AF Compressors,Industrials,,,,1870,,,,,,,,,,,,Compressors,,,,MalPatSaj-wikipedia-org
AG Real Estate,Financials,,,,1824,,,,,,,,,,,,Real estate,,,,MalPatSaj-wikipedia-org
Ageas,Financials,,,,1990,,,,,,,,,,,,Financing,,,,MalPatSaj-wikipedia-org
Agfa-Gevaert,Technology,,,,1867,,,,,,,,,,,,Digital imaging and IT solutions,,,,MalPatSaj-wikipedia-org
Agoria,Industrials,,,,1946,,,,,,,,,,,,Trade association,,,,MalPatSaj-wikipedia-org
AIM Productions,Technology,,,,1994,,,,,,,,,,,,IT,,,,MalPatSaj-wikipedia-org
Alpro,Consumer goods,,,,1980,,,,,,,,,,,,Soy products,,,,MalPatSaj-wikipedia-org
Anheuser-Busch InBev,Consumer goods,,,,2008,,,,,,,,,,,,"Breweries, distributors; see also InBev brands",,,,MalPatSaj-wikipedia-org
Antwerp Water Works,Utilities,,,,1880,,,,,,,,,,,,Water utility,,,,MalPatSaj-wikipedia-org
Aquafin,Utilities,,,,1990,,,,,,,,,,,,Wastewater,,,,MalPatSaj-wikipedia-org
ASL Airlines Belgium,Industrials,,,,1999,,,,,,,,,,,,"Cargo airline, part of ASL Airlines Ireland",,,,MalPatSaj-wikipedia-org
Associated Weavers,Consumer goods,,,,1964,,,,,,,,,,,,Textile,,,,MalPatSaj-wikipedia-org
Aveve,Consumer goods,,,,1890,,,,,,,,,,,,Agriculture,,,,MalPatSaj-wikipedia-org
Aviapartner,Industrials,,,,1949,,,,,,,,,,,,Ground handling,,,,MalPatSaj-wikipedia-org
Barco,Technology,,,,1934,,,,,,,,,,,,Display manufacturer,,,,MalPatSaj-wikipedia-org
Base,Industrials,,,,1993,,,,,,,,,,,,Communications and design,,,,MalPatSaj-wikipedia-org
Beaulieu International Group,Consumer goods,,,,1959,,,,,,,,,,,,Textiles,,,,MalPatSaj-wikipedia-org
Befimmo,Financials,,,,1995,,,,,,,,,,,,Real estate,,,,MalPatSaj-wikipedia-org
Bekaert,Basic materials,,,,1880,,,,,,,,,,,,Metal transformations and coatings,,,,MalPatSaj-wikipedia-org
Belgian Beer Café,Consumer services,,,,1998,,,,,,,,,,,,Cafe/restaurant,,,,MalPatSaj-wikipedia-org
Belgian Investment Company for Developing Countries,Financials,,,,2001,,,,,,,,,,,,Financial NGO,,,,MalPatSaj-wikipedia-org
Bpost,Industrials,,,,2000,,,,,,,,,,,,Postal services,,,,MalPatSaj-wikipedia-org
Brussels Airlines,Consumer services,,,,2006,,,,,,,,,,,,"Flag carrier airline, part of Lufthansa (Germany)",,,,MalPatSaj-wikipedia-org
Brussels Regional Investment Company,Financials,,,,1984,,,,,,,,,,,,Financing,,,,MalPatSaj-wikipedia-org
Cockerill Sambre,Basic materials,,,,1817,,,,,,,,,,,,Partially Defunct in 1998,,,,MalPatSaj-wikipedia-org
Carmeuse,Basic materials,,,,1860,,,,,,,,,,,,Lime and limestone mining,,,,MalPatSaj-wikipedia-org
Cartamundi,Consumer goods,,,,1970,,,,,,,,,,,,Games,,,,MalPatSaj-wikipedia-org
Cavalier Chocolate,Consumer goods,,,,1996,,,,,,,,,,,,Chocolatier,,,,MalPatSaj-wikipedia-org
Claeys,Industrials,,,,1906,,,,,,,,,,,,"Farm equipment, defunct 1991",,,,MalPatSaj-wikipedia-org
Cofinimmo,Financials,,,,1983,,,,,,,,,,,,Real estate,,,,MalPatSaj-wikipedia-org
Colruyt Group,Consumer services,,,,1925,,,,,,,,,,,,"Retail, supermarkets",,,,MalPatSaj-wikipedia-org
Compagnie Maritime Belge,Industrials,,,,1895,,,,,,,,,,,,Shipping,,,,MalPatSaj-wikipedia-org
Confiserie Roodthooft,Consumer goods,,,,1925,,,,,,,,,,,,Confectioner,,,,MalPatSaj-wikipedia-org
Copiepresse,Consumer services,,,,2000,,,,,,,,,,,,Newspaper,,,,MalPatSaj-wikipedia-org
De Lijn,Consumer services,,,,1991,,,,,,,,,,,,State-owned public transportation,,,,MalPatSaj-wikipedia-org
Deceuninck,Basic materials,,,,1937,,,,,,,,,,,,PVC,,,,MalPatSaj-wikipedia-org
Delhaize Group,Consumer goods,,,,1867,,,,,,,,,,,,Food,,,,MalPatSaj-wikipedia-org
DEME,Industrials,,,,1991,,,,,,,,,,,,Infrastructure,,,,MalPatSaj-wikipedia-org
D'Ieteren,Consumer services,,,,1805,,,,,,,,,,,,Automotive services,,,,MalPatSaj-wikipedia-org
DOMO Group,Consumer goods,,,,1992,,,,,,,,,,,,Textiles,,,,MalPatSaj-wikipedia-org
Ecover,Consumer goods,,,,1979,,,,,,,,,,,,Cleaning products,,,,MalPatSaj-wikipedia-org
