company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Jpmorgan Chase,"['Banks', 'Financial services', 'Dow jones']",,,USA,,,,,$396.45 B,,,,,,,,,,$135.16,,companiesMarketCap_dataset
Nvidia,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']",,,USA,,,,,$420.54 B,,,,,,,,,,$168.76,,companiesMarketCap_dataset
Tsmc,"['Semiconductors', 'Tech', 'Manufacturing', 'Tech Hardware']",,,Taiwan,,,,,$422.66 B,,,,,,,,,,$81.50,,companiesMarketCap_dataset
Exxon Mobil,"['Oil&Gas', 'Energy']",,,USA,,,,,$452.43 B,,,,,,,,,,$109.86,,companiesMarketCap_dataset
Visa,"['Financial services', 'Dow jones']",,,USA,,,,,$460.99 B,,,,,,,,,,$217.66,,companiesMarketCap_dataset
Johnson & Johnson,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,USA,,,,,$467.67 B,,,,,,,,,,$178.88,,companiesMarketCap_dataset
Tesla,"['Automakers', 'Tech', 'Electric Vehicles', 'Bitcoin', 'Manufacturing', 'EV charging', 'Autonomous driving']",,,USA,,,,,$606.20 B,,,,,,,,,,$194.86,,companiesMarketCap_dataset
Unitedhealth,"['Healthcare', 'Insurance', 'Dow jones']",,,USA,,,,,$500.96 B,,,,,,,,,,$536.16,,companiesMarketCap_dataset
Berkshire Hathaway,['Investment'],,,USA,,,,,$696.53 B,,,,,,,,,,$316.15,,companiesMarketCap_dataset
Amazon,"['E-Commerce', 'Internet', 'Tech', 'Retail']",,,USA,,,,,$960.28 B,,,,,,,,,,$94.13,,companiesMarketCap_dataset
Microsoft,"['Software', 'Tech', 'Dow jones', 'Video games']",,,USA,,,,,$1.901 T,,,,,,,,,,$255.02,,companiesMarketCap_dataset
Alphabet (google),"['Internet', 'Tech', 'Software', 'Autonomous driving']",,,USA,,,,,$1.303 T,,,,,,,,,,$100.83,,companiesMarketCap_dataset
Saudi Aramco,"['Energy', 'Oil&Gas']",,,Saudi Arabia,,,,,$1.938 T,,,,,,,,,,$8.81,,companiesMarketCap_dataset
Toronto Dominion Bank,"['Banks', 'Financial services']",,,Canada,,,,,$125.25 B,,,,,,,,,,$68.59,,companiesMarketCap_dataset
Hdfc Bank,"['Banks', 'Financial services']",,,India,,,,,$126.75 B,,,,,,,,,,$68.20,,companiesMarketCap_dataset
Elevance Health,"['Healthcare', 'Insurance']",,,USA,,,,,$125.66 B,,,,,,,,,,$523.60,,companiesMarketCap_dataset
Goldman Sachs,"['Banks', 'Dow jones', 'Financial services']",,,USA,,,,,$128.87 B,,,,,,,,,,$380.58,,companiesMarketCap_dataset
Petrochina,"['Oil&Gas', 'Energy']",,,China,,,,,$129.63 B,,,,,,,,,,$0.74,,companiesMarketCap_dataset
Lockheed Martin,"['Aerospace', 'Defense contractors', 'Aircraft manufacturers', 'Manufacturing']",,,USA,,,,,$130.04 B,,,,,,,,,,$496.23,,companiesMarketCap_dataset
Lowe's Companies,['Retail'],,,USA,,,,,$129.91 B,,,,,,,,,,$214.84,,companiesMarketCap_dataset
Prosus,['Investment'],,,Netherlands,,,,,$131.50 B,,,,,,,,,,$65.60,,companiesMarketCap_dataset
Unilever,"['Food', 'Consumer goods']",,,UK,,,,,$131.15 B,,,,,,,,,,$51.50,,companiesMarketCap_dataset
Union Pacific Corporation,"['Railways', 'Transportation', 'Infrastructure']",,,USA,,,,,$132.01 B,,,,,,,,,,$214.73,,companiesMarketCap_dataset
Ibm,"['Tech', 'Software', 'Dow jones']",,,USA,,,,,$133.25 B,,,,,,,,,,$148.67,,companiesMarketCap_dataset
Meituan,"['Internet', 'Tech', 'E-Commerce']",,,China,,,,,$133.48 B,,,,,,,,,,$21.57,,companiesMarketCap_dataset
Sap,"['Tech', 'Software', 'DAX']",,,Germany,,,,,$133.26 B,,,,,,,,,,$112.03,,companiesMarketCap_dataset
Cvs Health,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",,,USA,,,,,$134.78 B,,,,,,,,,,$102.58,,companiesMarketCap_dataset
Deere & Company,"['Machinery manufacturing', 'Manufacturing']",,,USA,,,,,$134.49 B,,,,,,,,,,$445.61,,companiesMarketCap_dataset
Dior,"['Luxury goods', 'Clothing']",,,France,,,,,$135.84 B,,,,,,,,,,$751.90,,companiesMarketCap_dataset
At&t,['Telecommunication'],,,USA,,,,,$135.55 B,,,,,,,,,,$19.02,,companiesMarketCap_dataset
