company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
AI inside,Technology,,2015,,[],['Japan'],,,43.06,,,102,,,,,,,ft-com
Flexing It,Technology,,2014,,[],['India'],,,3.13,,,25,,,,,,,ft-com
"Stylist in Pocket Technologies, Inc.",Fashion,,2016,,[],['Philippines'],,,1.56,,,43,,,,,,,ft-com
RedDoorz,Travel & Leisure,,2015,,[],['Singapore'],,,8.50,,,1556,,,,,,,ft-com
Cardoc,Support Services,,2014,,[],['South Korea'],,,18.98,,,64,,,,,,,ft-com
Ethique,Personal & Household Goods,,2012,,[],['New Zealand'],,,12.83,,,9,,,,,,,ft-com
Instabox,Technology,,2015,,[],['Sweden'],,,"24,484,879",,,117,,,,,,,ft-com
Waterdrop,Food & Beverage,,2016,,[],['Austria'],,,"41,205,930",,,180,,,,,,,ft-com
Kolibri Games**,Technology,,2016,,[],['Germany'],,,"53,500,970",,,91,,,,,,,ft-com
Deliveroo,Food & Beverage,,2013,,[],['United Kingdom'],,,316.1,,,1664,,,,,,,ft-com
Taxify,Technology,,2013,,[],['Estonia'],,,17.8,,,350,,,,,,,ft-com
Nium,Fintech,,2014,,[],['Singapore'],,,15.98,,,422,,,,,,,ft-com
YAMAP,Technology,,2013,,[],['Japan'],,,7.20,,,65,,,,,,,ft-com
Dovetail,Technology,,2015,,[],['New Zealand'],,,8.47,,,31,,,,,,,ft-com
Kami,Technology,,2013,,[],['New Zealand'],,,2.16,,,28,,,,,,,ft-com
One Lease,Support Services,,2016,,[],['France'],,,"9,015,211",,,11,,,,,,,ft-com
Polarium Energy Solutions,Batteries,,2015,,[],['Sweden'],,,"43,207,400",,,38,,,,,,,ft-com
Solectric,Technology,,2012,,[],['Germany'],,,40.9,,,30,,,,,,,ft-com
Harch,Media,,2015,,[],['Japan'],,,5.18,,,29,,,,,,,ft-com
IGOODS,Sales & Marketing,,2016,,[],['Japan'],,,30.01,,,30,,,,,,,ft-com
BR Metals,Waste management & recycling,,2009,,[],['Singapore'],,,107.40,,,16,,,,,,,ft-com
Smart Energy Group,Energy,,2016,,[],['Australia'],,,34.64,,,203,,,,,,,ft-com
Razorpay,Technology,,2013,,[],['India'],,,73.76,,,1050,,,,,,,ft-com
Datlas*,Technology,,2017,,[],['Italy'],,,"9,034,926",,,251,,,,,,,ft-com
Crossflow Payment Solutions Trading,Fintech,,2013,,[],['UK'],,,"14,333,126",,,7,,,,,,,ft-com
Psioxus Therapeutics,Pharmaceuticals,,2006,,[],['United Kingdom'],,,64.4,,,69,,,,,,,ft-com
Hegen,Personal & Household Goods,,2014,,[],['Singapore'],,,24.31,,,22,,,,,,,ft-com
KALEIDO JAPAN,Architecture,,2011,,[],['Japan'],,,5.45,,,10,,,,,,,ft-com
Redpeak Advisers,Financial Services,,2016,,[],['Singapore'],,,10.11,,,7,,,,,,,ft-com
Miss Amara,Retail,,2014,,[],['Australia'],,,7.07,,,36,,,,,,,ft-com
Wadiz,Fintech,,2012,,[],['South Korea'],,,12.47,,,204,,,,,,,ft-com
Coda Payments,Fintech,,2011,,[],['Singapore'],,,80.32,,,104,,,,,,,ft-com
Zego,Fintech,,2016,,[],['UK'],,,"12,158,046",,,224,,,,,,,ft-com
Swapfiets,Travel & Leisure,,2014,,[],['Netherlands'],,,"22,700,000",,,550,,,,,,,ft-com
Housekeep,Technology,,2013,,[],['United Kingdom'],,,7.3,,,25,,,,,,,ft-com
Mikienergy,Energy,,2015,,[],['Japan'],,,8.62,,,5,,,,,,,ft-com
