company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
Greenstorm Mobility,Ecommerce,,2014,,[],['Austria'],,,10.9,,,60,,,,,,,ft-com
COMATCH,Management Consulting,,2015,,[],['Germany'],,,27.80,,,137,,,,,,,ft-com
NoviCap,Financial Services,,2014,,[],['United Kingdom'],,,1.75,,,32,,,,,,,ft-com
Tiger Analytics,Management Consulting,,2012,,[],['India'],,,17.73,,,"1,077",,,,,,,ft-com
Sterling Accuris Diagnostics,Health,,2014,,[],['India'],,,18.10,,,895,,,,,,,ft-com
Penguin International,Industrial Goods,,1995,,[],['Singapore'],,,99.94,,,Not found,,,,,,,ft-com
Adactin Group,Technology,,2011,,[],['Australia'],,,20.04,,,170,,,,,,,ft-com
Baroni Home,Ecommerce,,2016,,[],['Italy'],,,"1,531,358",,,5,,,,,,,ft-com
Dayshape,Technology,,2013,,[],['UK'],,,"3,320,479",,,45,,,,,,,ft-com
Making Science Group,Sales & Marketing,,2001,,[],['Spain'],,,"35,500,000",,,226,,,,,,,ft-com
Rebecca ,Ecommerce,,2014,,[],['Italy'],,,3.9,,,10,,,,,,,ft-com
Elvie,Health,,2013,,[],['United Kingdom'],,,3.80,,,37,,,,,,,ft-com
GPA Innova (Dlyte),Industrial Goods,,2013,,[],['Spain'],,,4.24,,,22,,,,,,,ft-com
Resource Creation,Advertising,,2015,,[],['Japan'],,,2.16,,,20,,,,,,,ft-com
Curvy.com.au,Ecommerce,,2014,,[],['Australia'],,,4.76,,,20,,,,,,,ft-com
AusDiagnostics,Health,,2006,,[],['Australia'],,,35.21,,,110,,,,,,,ft-com
Sunseap Group,Energy,,2011,,[],['Singapore'],,,75.81,,,185,,,,,,,ft-com
Align Group,Management Consulting,,2012,,[],['Singapore'],,,1.40,,,18,,,,,,,ft-com
Satellite Office,Support Services,,2013,,[],['Australia'],,,17.93,,,579,,,,,,,ft-com
Marketers Company,Advertising,,2016,,[],['Italy'],,,"1,880,460",,,8,,,,,,,ft-com
Easo Magno,Beauty,,2017,,[],['Spain'],,,"3,061,854",,,5,,,,,,,ft-com
creditshelf,Technology,,2014,,[],['Germany'],,,"4,564,000",,,49,,,,,,,ft-com
AlterBoutique,Retail,,2011,,[],['France'],,,2.1,,,8,,,,,,,ft-com
Target Circle,Technology,,2014,,[],['Norway'],,,6.8,,,6,,,,,,,ft-com
Lumenaza,Energy,,2013,,[],['Germany'],,,6.10,,,31,,,,,,,ft-com
Skills RH,Support Services,,2011,,[],['France'],,,9.08,,,129,,,,,,,ft-com
Culture Amp,Technology,,2009,,[],['Australia'],,,61.02,,,534,,,,,,,ft-com
Signifi Media,Advertising,,2015,,[],['Australia'],,,5.02,,,22,,,,,,,ft-com
PromoCollection,Advertising,,2011,,[],['Australia'],,,10.31,,,50,,,,,,,ft-com
Spacetalk,Technology,,2000,,[],['Australia'],,,7.80,,,34,,,,,,,ft-com
Greyfood,Retail,,2016,,[],['Germany'],,,"9,187,050",,,10,,,,,,,ft-com
Misfits Health,Food & Beverage,,2016,,[],['UK'],,,"2,266,155",,,9,,,,,,,ft-com
Sneakers & Jackets,Management Consulting,,2013,,[],['France'],,,"3,922,045",,,2,,,,,,,ft-com
Allocab,Transport,,2011,,[],['France'],,,6.9,,,27,,,,,,,ft-com
ENPIRE,Transport,,2011,,[],['Poland'],,,25.54,,,192,,,,,,,ft-com
PALS E HIJOS IMPORT,Retail,,2009,,[],['Spain'],,,4.82,,,70,,,,,,,ft-com
TO THE NEW,Technology,,2006,,[],['India'],,,57.30,,,"1,538",,,,,,,ft-com
Kuradashi,Food & Beverage,,2014,,[],['Japan'],,,11.83,,,33,,,,,,,ft-com
air accounting,Financial Services,,2015,,[],['Australia'],,,1.38,,,19,,,,,,,ft-com
Platinum Bit Corporation,Property,,2014,,[],['Japan'],,,12.24,,,5,,,,,,,ft-com
Rush,Technology,,2007,,[],['New Zealand'],,,8.54,,,84,,,,,,,ft-com
Fusion Microfinance,Financial Services,,1994,,[],['India'],,,102.29,,,4398,,,,,,,ft-com
MeilleursBiens.com,Property,,2010,,[],['France'],,,"3,864,176",,,5,,,,,,,ft-com
Amarenco,Energy,,2011,,[],['France'],,,"40,101,000",,,111,,,,,,,ft-com
Maisons Fidéa,Construction,,2005,,[],['France'],,,3.7,,,8,,,,,,,ft-com
Mrs Wordsmith,Education,,2015,,[],['United Kingdom'],,,1.99,,,40,,,,,,,ft-com
Nexolub,Energy,,2008,,[],['Spain'],,,77.76,,,7,,,,,,,ft-com
2C2P,Fintech,,2003,,[],['Singapore'],,,122.44,,,406,,,,,,,ft-com
Bubblestar,Food & Beverage,,2010,,[],['Japan'],,,15.64,,,9,,,,,,,ft-com
Everyday Massive,Management Consulting,,2006,,[],['Australia'],,,3.67,,,25,,,,,,,ft-com
Fruitas Holdings,Food & Beverage,,2002,,[],['Philippines'],,,38.43,,,2000,,,,,,,ft-com
KMT Group,Technology,,2010,,[],['Australia'],,,4.61,,,31,,,,,,,ft-com
Probank,Property,,2011,,[],['Japan'],,,8.74,,,22,,,,,,,ft-com
Fasanara Capital,Financial Services,,2011,,[],['UK'],,,"11,527,860",,,36,,,,,,,ft-com
ParcelLab,Technology,,2015,,[],['Germany'],,,"2,770,000",,,45,,,,,,,ft-com
Longboat Clinical,Pharmaceuticals,,2014,,[],['Ireland'],,,"5,821,129",,,70,,,,,,,ft-com
Lamia,Technology,,2012,,[],['Finland'],,,4.2,,,42,,,,,,,ft-com
INNOVI Recherche,Pharmaceuticals,,2011,,[],['France'],,,1.89,,,3,,,,,,,ft-com
GLOBAL JAPAN,Personal & Household Goods,,2012,,[],['Japan'],,,12.87,,,30,,,,,,,ft-com
Curio,Education,,2013,,[],['Australia'],,,6.39,,,200,,,,,,,ft-com
INEX Innovate,Health,,2006,,[],['Singapore'],,,5.28,,,35,,,,,,,ft-com
Rexceed,Construction,,2015,,[],['Japan'],,,5.91,,,19,,,,,,,ft-com
Pushpay,Technology,,2011,,[],['New Zealand'],,,127.47,,,459,,,,,,,ft-com
NtechLab,Technology,,2015,,[],['Cyprus'],,,"8,730,000",,,122,,,,,,,ft-com
Babylino Sensitive,Personal & Household Goods,,2016,,[],['Italy'],,,"2,851,840",,,5,,,,,,,ft-com
Chattermill Analytics,Technology,,2015,,[],['UK'],,,"1,716,107",,,42,,,,,,,ft-com
Missoma,Ecommerce,,2011,,[],['United Kingdom'],,,7.0,,,10,,,,,,,ft-com
Parkster,Technology,,2011,,[],['Sweden'],,,32.15,,,22,,,,,,,ft-com
Bending Spoons,Technology,,2015,,[],['Italy'],,,31.98,,,70,,,,,,,ft-com
Webskitters,Technology,,2013,,[],['India'],,,1.35,,,167,,,,,,,ft-com
ayonix,Technology,,2007,,[],['Japan'],,,1.09,,,10,,,,,,,ft-com
FUGU INNOVATIONS JAPAN,Technology,,2015,,[],['Japan'],,,14.22,,,8,,,,,,,ft-com
Kitanotatsujin,Retail,,2002,,[],['Japan'],,,92.78,,,155,,,,,,,ft-com
Japan Flange Direct,Industrial Goods,,2014,,[],['Japan'],,,2.47,,,1,,,,,,,ft-com
ReNew Power,Energy,,2011,,[],['India'],,,68.75,,,864,,,,,,,ft-com
Fastned,Technology,,2012,,[],['The Netherlands'],,,"6,890,000",,,54,,,,,,,ft-com
Oxray,Health,,2009,,[],['Portugal'],,,"5,465,756",,,6,,,,,,,ft-com
I+D Energías,Energy,,2008,,[],['Spain'],,,"35,207,328",,,87,,,,,,,ft-com
Transmission,Advertising,,2013,,[],['United Kingdom'],,,12.5,,,56,,,,,,,ft-com
ComplyAdvantage,Fintech,,2014,,[],['United Kingdom'],,,6.78,,,159,,,,,,,ft-com
MAKING SCIENCE,Advertising,,2001,,[],['Spain'],,,18.80,,,185,,,,,,,ft-com
RSQUARE,Property,,2009,,[],['South Korea'],,,54.64,,,327,,,,,,,ft-com
ReLic,Technology,,2015,,[],['Japan'],,,10.40,,,69,,,,,,,ft-com
itsumo,Ecommerce,,2007,,[],['Japan'],,,82.39,,,175,,,,,,,ft-com
Sinorbis,Sales & Marketing,,2016,,[],['Australia'],,,1.10,,,18,,,,,,,ft-com
unerry,Technology,,2015,,[],['Japan'],,,5.31,,,20,,,,,,,ft-com
PILOTTON,Management Consulting,,2012,,[],['Japan'],,,24.57,,,21,,,,,,,ft-com
ZEGA Invest,Property,,2017,,[],['Germany'],,,"3,785,340",,,4,,,,,,,ft-com
Abylon Consulting,Technology,,2016,,[],['Hungary'],,,"1,721,315",,,7,,,,,,,ft-com
Bending Spoons,Technology,,2015,,[],['Italy'],,,"74,989,531",,,128,,,,,,,ft-com
Löwentank*,Support Services,,2014,,[],['Germany'],,,7.1,,,80,,,,,,,ft-com
Società Gestioni Lavori,Energy,,2015,,[],['Italy'],,,4.19,,,22,,,,,,,ft-com
Ooni,Personal & Household Goods,,2012,,[],['United Kingdom'],,,11.29,,,34,,,,,,,ft-com
Grow,Fashion,,2008,,[],['Japan'],,,42.45,,,55,,,,,,,ft-com
Wishcompany Inc.,Beauty,,2010,,[],['South Korea'],,,43.53,,,64,,,,,,,ft-com
W-ENDLESS,Advertising,,2014,,[],['Japan'],,,15.89,,,90,,,,,,,ft-com
Origin Integrated Studios,Technology,,2015,,[],['Malaysia'],,,1.15,,,19,,,,,,,ft-com
New Aim,Ecommerce,,2005,,[],['Australia'],,,205.97,,,185,,,,,,,ft-com
Tiger Analytics,Management Consulting,,2012,,[],['India'],,,11.64,,,382,,,,,,,ft-com
Milrab,Ecommerce,,2005,,[],['Norway'],,,"79,302,201",,,77,,,,,,,ft-com
Urbantz,Technology,,2015,,[],['Belgium'],,,"3,031,099",,,55,,,,,,,ft-com
Saturno Appalti,Construction,,2014,,[],['Italy'],,,"3,993,782",,,27,,,,,,,ft-com
Eco CO2,Support Services,,2009,,[],['France'],,,2.0,,,24,,,,,,,ft-com
In Touch Networks,Ecommerce,,2013,,[],['United Kingdom'],,,4.0,,,121,,,,,,,ft-com
Ubiquicom,Technology,,2004,,[],['Italy'],,,2.94,,,16,,,,,,,ft-com
Sun Brothers Development,Property,,1980,,[],['Taiwan'],,,59.33,,,Not found,,,,,,,ft-com
CloudKaptan,Technology,,2014,,[],['India'],,,4.50,,,78,,,,,,,ft-com
MEGA The Privacy Company,Technology,,2012,,[],['New Zealand'],,,21.19,,,94,,,,,,,ft-com
AMPLUS,Technology,,2005,,[],['Japan'],,,5.71,,,14,,,,,,,ft-com
Ava Group,Technology,,1994,,[],['Australia'],,,34.29,,,72,,,,,,,ft-com
Tricas Construction,Construction,,2017,,[],['UK'],,,"15,880,745",,,32,,,,,,,ft-com
Bettergov,Management Consulting,,2016,,[],['UK'],,,"3,654,520",,,9,,,,,,,ft-com
Da.Dif. Consulting,Support Services,,2003,,[],['Italy'],,,1.8,,,6,,,,,,,ft-com
Flight Club Darts,Restaurants,,2013,,[],['United Kingdom'],,,11.25,,,194,,,,,,,ft-com
Narajan,Food & Beverage,,2014,,[],['Slovenia'],,,2.85,,,7,,,,,,,ft-com
Glaucus,Transport,,2015,,[],['India'],,,4.31,,,124,,,,,,,ft-com
Inst. Global Society,Technology,,2010,,[],['Japan'],,,4.82,,,33,,,,,,,ft-com
GNI Group,Pharmaceuticals,,2001,,[],['Japan'],,,91.54,,,539,,,,,,,ft-com
AJ2 Holdings,Interiors,,2014,,[],['Singapore'],,,3.92,,,34,,,,,,,ft-com
Ready to Eat,Food & Beverage,,2013,,[],['New Zealand'],,,2.51,,,47,,,,,,,ft-com
MiRXES,Technology,,2014,,[],['Singapore'],,,2.63,,,40,,,,,,,ft-com
Florence One,Technology,,2017,,[],['Italy'],,,"1,629,099",,,10,,,,,,,ft-com
LVS Brokers,Fintech,,2012,,[],['Finland'],,,"12,470,754",,,16,,,,,,,ft-com
Radarservices,Cyber Security,,2011,,[],['Austria'],,,6.3,,,88,,,,,,,ft-com
Studapart,Property,,2013,,[],['France'],,,1.65,,,25,,,,,,,ft-com
Tylia Invest,Fintech,,2012,,[],['France'],,,1.51,,,11,,,,,,,ft-com
NIIGATA TOCHI TATEMONO HANBAISENTA,Property,,2013,,[],['Japan'],,,14.00,,,25,,,,,,,ft-com
Primal,Advertising,,2015,,[],['Thailand'],,,6.99,,,77,,,,,,,ft-com
Healthians,Health,,2015,,[],['India'],,,9.05,,,"1,115",,,,,,,ft-com
SHIFT,Technology,,2005,,[],['Japan'],,,179.53,,,4800,,,,,,,ft-com
Japan Project Solutions,Management Consulting,,2013,,[],['Japan'],,,4.83,,,38,,,,,,,ft-com
One Stop Warehouse,Energy,,2013,,[],['Australia'],,,380.27,,,92,,,,,,,ft-com
Ergotopia,Retail,,2014,,[],['Germany'],,,"7,664,825",,,35,,,,,,,ft-com
Mcule.com Kft.,Chemicals & Pharmaceuticals,,2011,,[],['Hungary'],,,"2,683,264",,,17,,,,,,,ft-com
Divido Financial Services,Fintech,,2015,,[],['UK'],,,"2,925,893",,,62,,,,,,,ft-com
ENPIRE,Transport,,2011,,[],['Poland'],,,12.7,,,143,,,,,,,ft-com
Tetra Consulting & Engineering,Management Consulting,,2010,,[],['Spain'],,,2.3,,,38,,,,,,,ft-com
Enesco,Energy,,2013,,[],['Italy'],,,5.40,,,6,,,,,,,ft-com
Trackem Pty Ltd,Technology,,2014,,[],['Australia'],,,2.08,,,18,,,,,,,ft-com
Titan Art,Advertising,,2009,,[],['Japan'],,,5.88,,,38,,,,,,,ft-com
Snooper,Technology,,2015,,[],['Australia'],,,1.15,,,11,,,,,,,ft-com
Nexacu,Education,,2014,,[],['Australia'],,,3.22,,,15,,,,,,,ft-com
Aris Capital,Financial Services,,1995,,[],['India'],,,2.93,,,201,,,,,,,ft-com
Realize Group,Financial Services,,2005,,[],['Japan'],,,118.63,,,25,,,,,,,ft-com
Filo,Technology,,2014,,[],['Italy'],,,"10,049,610",,,18,,,,,,,ft-com
Homepal,Property,,2014,,[],['Italy'],,,"1,603,990",,,11,,,,,,,ft-com
S.P.C. General Service,Construction,,2011,,[],['Italy'],,,"4,737,550",,,42,,,,,,,ft-com
Salelifter,Advertising,,2013,,[],['Poland'],,,2.4,,,16,,,,,,,ft-com
ConceptIF Pro,Insurance,,2011,,[],['Germany'],,,7.07,,,20,,,,,,,ft-com
Livingstone Health,Health,,2017,,[],['Singapore'],,,14.55,,,80,,,,,,,ft-com
Tiger Media,Media,,2015,,[],['Singapore'],,,46.67,,,218,,,,,,,ft-com
Mahaveer Finance,Financial Services,,1981,,[],['India'],,,7.18,,,275,,,,,,,ft-com
Gushcloud,Media,,2011,,[],['Singapore'],,,17.49,,,200,,,,,,,ft-com
Staffbase,Technology,,2014,,[],['Germany'],,,"26,894,501",,,310,,,,,,,ft-com
ILON MATERIEL,Construction,,2016,,[],['France'],,,"2,512,300",,,4,,,,,,,ft-com
AIXEMTEC*,Technology,,2016,,[],['Germany'],,,"1,665,958",,,19,,,,,,,ft-com
reiskundig.nl,Travel & Leisure,,2013,,[],['Netherlands'],,,3.0,,,4,,,,,,,ft-com
Carcamovil,Retail,,2013,,[],['Spain'],,,29.73,,,682,,,,,,,ft-com
Tingopol,Technology,,2007,,[],['Estonia'],,,2.48,,,5,,,,,,,ft-com
Redbubble,Ecommerce,,2006,,[],['Australia'],,,452.36,,,300,,,,,,,ft-com
SANGACIO JAPAN,Fashion,,2015,,[],['Japan'],,,3.87,,,3,,,,,,,ft-com
Star Stallion,Fashion,,2012,,[],['India'],,,6.28,,,151,,,,,,,ft-com
Wantedly,Advertising,,2010,,[],['Japan'],,,26.86,,,123,,,,,,,ft-com
Fbit communications,Construction,,1964,,[],['Japan'],,,290.96,,,170,,,,,,,ft-com
DIVA,Fintech,,2004,,[],['Indonesia'],,,250.93,,,180,,,,,,,ft-com
Bio-marine,Personal & Household Goods,,2014,,[],['Ireland'],,,"1,612,837",,,25,,,,,,,ft-com
ISODECO,Construction,,2016,,[],['France'],,,"2,906,133",,,18,,,,,,,ft-com
The Research Partnership,Management Consulting,,1997,,[],['UK'],,,"47,719,777",,,222,,,,,,,ft-com
Personalhaus Bielefeld,Support Services,,2014,,[],['Germany'],,,19.1,,,1100,,,,,,,ft-com
Samy Road,Advertising,,2012,,[],['Spain'],,,6.58,,,35,,,,,,,ft-com
Sika Interplant Systems,Aerospace & Defence,,1985,,[],['India'],,,11.10,,,75,,,,,,,ft-com
Kenergie,Chemicals,,2004,,[],['India'],,,226.37,,,35,,,,,,,ft-com
SHIFT,Technology,,2005,,[],['Japan'],,,268.91,,,"4,800",,,,,,,ft-com
WebEngage,Technology,,2011,,[],['India'],,,5.41,,,125,,,,,,,ft-com
Eco Life Japan,Construction,,2011,,[],['Japan'],,,5.13,,,9,,,,,,,ft-com
ZenMarket,Ecommerce,,2014,,[],['Japan'],,,36.79,,,137,,,,,,,ft-com
Treedom,Support Services,,2010,,[],['Italy'],,,"6,709,720",,,42,,,,,,,ft-com
Fenstermaxx24,Retail,,2016,,[],['Germany'],,,"8,466,121",,,20,,,,,,,ft-com
Omnisend,Technology,,2008,,[],['UK'],,,"3,929,767",,,55,,,,,,,ft-com
Winnow Holdings,Technology,,2013,,[],['United Kingdom'],,,2.8,,,60,,,,,,,ft-com
Grupo Grl (Élite Diseños),Construction,,2012,,[],['Spain'],,,8.40,,,31,,,,,,,ft-com
Archistar,Property,,2016,,[],['Australia'],,,1.59,,,60,,,,,,,ft-com
Xcel Petroleum,Retail,,2007,,[],['Malaysia'],,,31.40,,,15,,,,,,,ft-com
Motorist,Automobiles,,2015,,[],['Singapore'],,,2.28,,,50,,,,,,,ft-com
Ricksoft,Technology,,2005,,[],['Japan'],,,27.99,,,81,,,,,,,ft-com
Delta Insurance,Insurance,,2014,,[],['New Zealand'],,,10.08,,,36,,,,,,,ft-com
Apparent Communications,Advertising,,2008,,[],['Australia'],,,13.50,,,126,,,,,,,ft-com
Pohl & Söhne Gerüstbau,Construction,,2017,,[],['Germany'],,,"2,124,763",,,31,,,,,,,ft-com
YSO CORP,Media,,2013,,[],['France'],,,"6,689,503",,,13,,,,,,,ft-com
Bizaway,Travel & Leisure,,2015,,[],['Italy'],,,"3,304,686",,,38,,,,,,,ft-com
Merkkur*,Ecommerce,,2014,,[],['Germany'],,,6.2,,,4,,,,,,,ft-com
GAP Vehicle Hire,Support Services,,2014,,[],['United Kingdom'],,,23.62,,,57,,,,,,,ft-com
NRT Trading & Engineering,Support Services,,2011,,[],['Singapore'],,,9.02,,,474,,,,,,,ft-com
Kinara Capital,Fintech,,1996,,[],['India'],,,31.41,,,"1,125",,,,,,,ft-com
AT Prompt Supply,Construction,,2014,,[],['Thailand'],,,3.00,,,9,,,,,,,ft-com
SirionLabs,Technology,,2012,,[],['Singapore'],,,11.29,,,450,,,,,,,ft-com
SPC Lifesciences,Pharmaceuticals,,2005,,[],['India'],,,16.96,,,140,,,,,,,ft-com
Loadstar Capital,Property,,2012,,[],['Japan'],,,138.94,,,57,,,,,,,ft-com
Gyada Cosmetics,Beauty,,2017,,[],['Italy'],,,"1,830,610",,,10,,,,,,,ft-com
Privitar,Technology,,2014,,[],['UK'],,,"9,923,965",,,190,,,,,,,ft-com
Bumper,Fintech,,2013,,[],['UK'],,,"1,615,104",,,18,,,,,,,ft-com
Festicket,Travel & Leisure,,2012,,[],['United Kingdom'],,,42.0,,,90,,,,,,,ft-com
OTA Insight,Technology,,2012,,[],['United Kingdom'],,,11.63,,,105,,,,,,,ft-com
priomold,Industrial Goods,,2015,,[],['Germany'],,,3.10,,,22,,,,,,,ft-com
i-net.creation,Telecoms,,2013,,[],['Japan'],,,1.82,,,35,,,,,,,ft-com
Trust Industry,Construction,,2005,,[],['Japan'],,,4.78,,,8,,,,,,,ft-com
Zifo RnD Solutions,Technology,,2008,,[],['India'],,,44.86,,,835,,,,,,,ft-com
Pentamaster,Technology,,1991,,[],['Malaysia'],,,119.83,,,539,,,,,,,ft-com
Square Yards,Property,,2014,,[],['India'],,,42.35,,,2442,,,,,,,ft-com
High Volt Electrical,Industrial Goods,,1995,,[],['India'],,,19.37,,,98,,,,,,,ft-com
Delineate,Technology,,2015,,[],['UK'],,,"3,332,661",,,25,,,,,,,ft-com
Alias Group,Technology,,2003,,[],['Italy'],,,"3,566,734",,,12,,,,,,,ft-com
Nurole,Technology,,2014,,[],['United Kingdom'],,,1.5,,,15,,,,,,,ft-com
Nurole,Technology,,2014,,[],['United Kingdom'],,,1.91,,,18,,,,,,,ft-com
Cru Wine,Food & Beverage,,2013,,[],['United Kingdom'],,,3.45,,,5,,,,,,,ft-com
Sinorbis,Sales & Marketing,,2016,,[],['Australia'],,,1.47,,,20,,,,,,,ft-com
Venugram Hospital,Health,,2013,,[],['India'],,,3.45,,,250,,,,,,,ft-com
Vidooly,Technology,,2014,,[],['India'],,,1.89,,,96,,,,,,,ft-com
Banka BioLoo,Waste management & recycling,,2012,,[],['India'],,,6.80,,,949,,,,,,,ft-com
Good Com Asset,Property,,2005,,[],['Japan'],,,214.87,,,99,,,,,,,ft-com
HKTaxi App,Transport,,2014,,[],['Hong Kong'],,,6.59,,,16,,,,,,,ft-com
Spyrosoft,Technology,,2016,,[],['Poland'],,,"24,721,755",,,563,,,,,,,ft-com
Livestorm,Technology,,2016,,[],['France'],,,"1,600,000",,,25,,,,,,,ft-com
Cooperativa Sociale Integra,Support Services,,2014,,[],['Italy'],,,2.6,,,36,,,,,,,ft-com
InnovaMaxx,Sales & Marketing,,2012,,[],['Germany'],,,37.51,,,142,,,,,,,ft-com
Signaturit Solutions,Technology,,2013,,[],['Spain'],,,1.77,,,69,,,,,,,ft-com
Zenmarket,Ecommerce,,2014,,[],['Japan'],,,67.32,,,195,,,,,,,ft-com
Zemoso,Technology,,2012,,[],['India'],,,6.20,,,176,,,,,,,ft-com
MTP Services,Management Consulting,,2016,,[],['Australia'],,,31.12,,,150,,,,,,,ft-com
MedPeer,Health,,2004,,[],['Japan'],,,27.99,,,136,,,,,,,ft-com
Sunfun Info,Technology,,2002,,[],['Taiwan'],,,33.53,,,70,,,,,,,ft-com
Bluconnection,Fashion,,2009,,[],['Singapore'],,,38.02,,,8,,,,,,,ft-com
Bio Energy Solutions,Waste management & recycling,,2014,,[],['Slovakia'],,,"16,006,537",,,37,,,,,,,ft-com
Increso,Management Consulting,,2015,,[],['Italy'],,,"3,230,000",,,51,,,,,,,ft-com
L'Estrange London,Fashion,,2013,,[],['UK'],,,"2,432,329",,,11,,,,,,,ft-com
YouLoveWords,Media,,2009,,[],['France'],,,1.6,,,12,,,,,,,ft-com
P & W Bau,Construction,,2009,,[],['Germany'],,,2.01,,,6,,,,,,,ft-com
AI Cross,Technology,,2015,,[],['Japan'],,,17.87,,,33,,,,,,,ft-com
Lasertec,Technology,,1960,,[],['Japan'],,,657.91,,,529,,,,,,,ft-com
Tutor2you,Education,,2016,,[],['Australia'],,,1.88,,,350,,,,,,,ft-com
KOR Glass and Aluminium,Industrial Goods,,2014,,[],['Australia'],,,2.15,,,11,,,,,,,ft-com
Course5 Intelligence,Technology,,2000,,[],['India'],,,36.66,,,902,,,,,,,ft-com
LSG - Logistic & Service Group,Transport,,2016,,[],['Italy'],,,"8,873,180",,,46,,,,,,,ft-com
Energihem,Construction,,2015,,[],['Sweden'],,,"28,004,684",,,125,,,,,,,ft-com
itrinity,Technology,,2009,,[],['Slovakia'],,,"3,371,670",,,4,,,,,,,ft-com
ID Finance Investments,Fintech,,2012,,[],['Spain'],,,87.0,,,534,,,,,,,ft-com
Total Tiles,Ecommerce,,2006,,[],['United Kingdom'],,,6.03,,,23,,,,,,,ft-com
Plenti,Fintech,,2014,,[],['Australia'],,,36.56,,,122,,,,,,,ft-com
Livewire Markets,Technology,,2013,,[],['Australia'],,,2.27,,,19,,,,,,,ft-com
Solarism,Energy,,2008,,[],['India'],,,13.97,,,73,,,,,,,ft-com
Dexterous Group,Financial Services,,2015,,[],['Australia'],,,1.12,,,37,,,,,,,ft-com
Oriano Clean Energy,Energy,,2015,,[],['India'],,,22.66,,,67,,,,,,,ft-com
Vita Group,Industrial Goods,,2003,,[],['Singapore'],,,11.03,,,8,,,,,,,ft-com
Amity,Technology,,2012,,[],['UK'],,,"5,743,440",,,164,,,,,,,ft-com
Goyago,Retail,,2014,,[],['Germany'],,,"3,729,920",,,43,,,,,,,ft-com
Mcule.com,Chemicals,,2011,,[],['Hungary'],,,"1,798,051",,,19,,,,,,,ft-com
Chevalier Technologies,Automobiles,,2008,,[],['United Kingdom'],,,10.3,,,20,,,,,,,ft-com
Epaper*,Industrial Goods,,2015,,[],['Italy'],,,8.26,,,12,,,,,,,ft-com
Kiwi.com,Travel & Leisure,,2012,,[],['Czech Republic'],,,"1,079.10",,,2800,,,,,,,ft-com
Taiwan Mask,Industrial Goods,,1975,,[],['Taiwan'],,,157.75,,,213,,,,,,,ft-com
Supportas,Technology,,2010,,[],['Japan'],,,10.84,,,126,,,,,,,ft-com
Reabroad,Education,,2014,,[],['Japan'],,,6.35,,,53,,,,,,,ft-com
KSE Marine Works,Construction,,2004,,[],['Singapore'],,,18.11,,,120,,,,,,,ft-com
TCI,Health,,1980,,[],['Taiwan'],,,309.31,,,1150,,,,,,,ft-com
Privé Technologies,Fintech,,2014,,[],['Hong Kong'],,,5.80,,,95,,,,,,,ft-com
LA REGIE DE PORTAGE SALARIAL,Support Services,,2016,,[],['France'],,,"7,638,731",,,140,,,,,,,ft-com
Elogicus,Ecommerce,,2015,,[],['Estonia'],,,"1,619,349",,,30,,,,,,,ft-com
Feiniko Handelsgesellschaft mbH,Retail,,2015,,[],['Germany'],,,"30,300,000",,,9,,,,,,,ft-com
Königskinder Immobilien,Property,,2008,,[],['Germany'],,,4.5,,,20,,,,,,,ft-com
Oradian,Fintech,,2012,,[],['Croatia'],,,2.20,,,125,,,,,,,ft-com
LIVE,Sales & Marketing,,2014,,[],['Japan'],,,4.02,,,21,,,,,,,ft-com
Innov8tif,Technology,,2011,,[],['Malaysia'],,,2.04,,,34,,,,,,,ft-com
AINS-LAB,Law,,2010,,[],['Japan'],,,14.09,,,10,,,,,,,ft-com
Pharma Foods International,Food & Beverage,,1997,,[],['Japan'],,,96.82,,,168,,,,,,,ft-com
Mercantile Insurance,Insurance,,1962,,[],['Philippines'],,,31.08,,,289,,,,,,,ft-com
ELMO Software,Technology,,2002,,[],['Australia'],,,37.21,,,384,,,,,,,ft-com
Dall Energy,Energy,,2007,,[],['Denmark'],,,"6,013,000",,,15,,,,,,,ft-com
Novicap,Fintech,,2015,,[],['UK'],,,"3,153,809",,,50,,,,,,,ft-com
Ideria,Restaurants,,2013,,[],['France'],,,2.9,,,9,,,,,,,ft-com
Egarri,Food & Beverage,,2011,,[],['France'],,,9.50,,,10,,,,,,,ft-com
GOVECS,Automobiles,,2009,,[],['Germany'],,,31.48,,,331,,,,,,,ft-com
Ureru Net Advertising,Advertising,,2010,,[],['Japan'],,,25.94,,,33,,,,,,,ft-com
HiiizL,Retail,,2014,,[],['Japan'],,,3.63,,,45,,,,,,,ft-com
Ahrefs,Technology,,2012,,[],['Singapore'],,,65.50,,,27,,,,,,,ft-com
MediSavers,Technology,,1998,,[],['Malaysia'],,,14.98,,,98,,,,,,,ft-com
MoneyMe,Fintech,,2013,,[],['Australia'],,,35.44,,,56,,,,,,,ft-com
Appinio,Technology,,2014,,[],['Germany'],,,"3,597,000",,,44,,,,,,,ft-com
Pinsami,Food & Beverage,,2015,,[],['Italy'],,,"4,892,000",,,33,,,,,,,ft-com
Manitech,Industrial Goods,,2016,,[],['Italy'],,,"3,263,058",,,5,,,,,,,ft-com
Hellofresh,Ecommerce,,2011,,[],['Germany'],,,904.9,,,4000,,,,,,,ft-com
