company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Ujjivan Small Finance Bank,Banking,,,,2017,Public,,,,,,,,,,,,,,,AmbitionBox
IIFL,Financial Services,,,,1995,Public,,,,,,,,,,,,,,,AmbitionBox
Bandhan Bank,Banking,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
OPPO,Consumer Electronics & Appliances,,,,2004,Public,,,,,,,,,,,,,,,AmbitionBox
JP Morgan Chase,Investment Banking / Venture Capital / Private Equity,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Wells Fargo India,IT Services & Consulting,,,,1852,Public,,,,,,,,,,,,,,,AmbitionBox
Zydus Cadila,Pharma,,,,1952,Public,,,,,,,,,,,,,,,AmbitionBox
Delhivery,Logistics,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
Shriram Transport Finance,NBFC,,,,1979,Public,,,,,,,,,,,,,,,AmbitionBox
Sun Pharmaceutical Industries,Pharma,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Shapoorji Pallonji Group,Engineering & Construction,,,,1865,Private,,,,,,,,,,,,,,,AmbitionBox
Ashok Leyland,Automobile,,,,1948,Public,,,,,,,,,,,,,,,AmbitionBox
Aurobindo Pharma,Pharma,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Vivo,Consumer Electronics & Appliances,,,,2009,Private,,,,,,,,,,,,,,,AmbitionBox
Mahindra & Mahindra Financial Services,NBFC,,,,1991,Public,,,,,,,,,,,,,,,AmbitionBox
AU Small Finance Bank,Financial Services,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Siemens,Power,,,,1847,Public,,,,,,,,,,,,,,,AmbitionBox
Apollo Hospitals,Healthcare,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Hewlett-Packard Enterprise,IT Services & Consulting,,,,2015,Private,,,,,,,,,,,,,,,AmbitionBox
Nokia,Hardware & Networking,,,,1865,Private,,,,,,,,,,,,,,,AmbitionBox
Max Life Insurance,Insurance,,,,2000,JV,,,,,,,,,,,,,,,AmbitionBox
TATA Steel,Iron & Steel,,,,1907,Public,,,,,,,,,,,,,,,AmbitionBox
TATA Steel,Iron & Steel,,,,1907,Public,,,,,,,,,,,,,,,AmbitionBox
First Source,BPO,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
Hexaware Technologies,IT Services & Consulting,,,,1990,Public,,,,,,,,,,,,,,,AmbitionBox
JSW Steel,Iron & Steel,,,,1982,Public,,,,,,,,,,,,,,,AmbitionBox
Oracle,Software Product,,,,1977,Public,,,,,,,,,,,,,,,AmbitionBox
Intelenet Global Services,BPO,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Quess,Recruitment,,,,2007,Public,,,,,,,,,,,,,,,AmbitionBox
Reliance Communications,Telecom,,,,2002,Public,,,,,,,,,,,,,,,AmbitionBox
Tata Projects,Engineering & Construction,,,,1979,Public,,,,,,,,,,,,,,,AmbitionBox
Future Group,Retail,,,,2013,Private,,,,,,,,,,,,,,,AmbitionBox
JLL,Real Estate,,,,1997,Private,,,,,,,,,,,,,,,AmbitionBox
Hero MotoCorp,Automobile,,,,1984,Public,,,,,,,,,,,,,,,AmbitionBox
Fidelity National Information Services,IT Services & Consulting,,,,1968,Private,,,,,,,,,,,,,,,AmbitionBox
JustDial,Internet,,,,1996,Public,,,,,,,,,,,,,,,AmbitionBox
TVS Motor,Automobile,,,,1979,Public,,,,,,,,,,,,,,,AmbitionBox
Cyient,IT Services & Consulting,,,,1991,Public,,,,,,,,,,,,,,,AmbitionBox
Oyo Rooms,Hospitality,,,,2013,Private,,,,,,,,,,,,,,,AmbitionBox
Bajaj Allianz Life Insurance,Insurance,,,,2001,Private,,,,,,,,,,,,,,,AmbitionBox
Hyundai Motor,Automobile,,,,1967,Private,,,,,,,,,,,,,,,AmbitionBox
Wipro BPS,IT Services & Consulting,,,,2000,,,,,,,,,,,,,,,,AmbitionBox
Bosch,Auto Components,,,,1886,Public,,,,,,,,,,,,,,,AmbitionBox
Megha Engineering & Infrastructures,Engineering & Construction,,,,1989,Private,,,,,,,,,,,,,,,AmbitionBox
Omega Healthcare,IT Services & Consulting,,,,2004,Private,,,,,,,,,,,,,,,AmbitionBox
L&T Construction,Engineering & Construction,,,,1944,Public,,,,,,,,,,,,,,,AmbitionBox
Atos Syntel,IT Services & Consulting,,,,1980,Private,,,,,,,,,,,,,,,AmbitionBox
D Mart,Retail,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Manappuram Finance,NBFC,,,,1949,Public,,,,,,,,,,,,,,,AmbitionBox
SBI Cards & Payment Services,FinTech,,,,1998,Government,,,,,,,,,,,,,,,AmbitionBox
Samsung,Consumer Electronics & Appliances,,,,1938,Public,,,,,,,,,,,,,,,AmbitionBox
BNY Mellon,IT Services & Consulting,,,,2004,Private,,,,,,,,,,,,,,,AmbitionBox
Cummins,Automobile,,,,1962,,,,,,,,,,,,,,,,AmbitionBox
Fullerton India,Financial Services,,,,2007,Private,,,,,,,,,,,,,,,AmbitionBox
IQVIA,Clinical Research,,,,1982,Partnership,,,,,,,,,,,,,,,AmbitionBox
Nagarro,IT Services & Consulting,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Viatris,Pharma,,,,1961,,,,,,,,,,,,,,,,AmbitionBox
Aditya Birla Fashion and Retail,Retail,,,,2015,Private,,,,,,,,,,,,,,,AmbitionBox
BigBasket,Internet,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
Amdocs,Software Product,,,,1982,Private,,,,,,,,,,,,,,,AmbitionBox
CBRE,Real Estate,,,,1906,Private,,,,,,,,,,,,,,,AmbitionBox
Bosch Global Software Technologies,Software Product,,,,1990,Private,,,,,,,,,,,,,,,AmbitionBox
Indiamart Intermesh,Internet,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Godrej & Boyce Manufacturing,FMCG,,,,1897,Private,,,,,,,,,,,,,,,AmbitionBox
Schneider Electric,Industrial Automation,,,,1999,Private,,,,,,,,,,,,,,,AmbitionBox
Royal Enfield,Automobile,,,,1901,Private,,,,,,,,,,,,,,,AmbitionBox
UST,IT Services & Consulting,,,,2001,Private,,,,,,,,,,,,,,,AmbitionBox
Ford Motor,Other,,,,1903,Public,,,,,,,,,,,,,,,AmbitionBox
Ecom Express,Logistics,,,,2012,Private,,,,,,,,,,,,,,,AmbitionBox
JBM Group,Auto Components,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Equitas Small Finance Bank,Banking,,,,2007,Private,,,,,,,,,,,,,,,AmbitionBox
State Bank of India,Banking,,,,1806,,,,,,,,,,,,,,,,AmbitionBox
Dell,Consumer Electronics & Appliances,,,,1984,Private,,,,,,,,,,,,,,,AmbitionBox
ICICI Lombard General Insurance Company,Insurance,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
Whitehat jr,EdTech,,,,2018,Private,,,,,,,,,,,,,,,AmbitionBox
Nagarjuna Construction Company,Engineering & Construction,,,,1998,Public,,,,,,,,,,,,,,,AmbitionBox
UnitedHealth,Healthcare,,,,1977,Private,,,,,,,,,,,,,,,AmbitionBox
Bajaj Auto,Automobile,,,,1945,Public,,,,,,,,,,,,,,,AmbitionBox
Muthoot Finance,NBFC,,,,1939,Public,,,,,,,,,,,,,,,AmbitionBox
Tata Communications,Telecom,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Muthoot Fincorp,NBFC,,,,1887,Private,,,,,,,,,,,,,,,AmbitionBox
John Deere,IT Services & Consulting,,,,2001,Private,,,,,,,,,,,,,,,AmbitionBox
GlobalLogic,IT Services & Consulting,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Dominos Pizza,Hospitality,,,,1960,Public,,,,,,,,,,,,,,,AmbitionBox
Cholamandalam Investment & Finance,NBFC,,,,1978,Private,,,,,,,,,,,,,,,AmbitionBox
Wipro Consumer Care & Lighting,FMCG,,,,1945,Private,,,,,,,,,,,,,,,AmbitionBox
L&T Financial Services,NBFC,,,,1994,Public,,,,,,,,,,,,,,,AmbitionBox
SBI Life Insurance Company,Insurance,,,,2001,Government,,,,,,,,,,,,,,,AmbitionBox
Capgemini Technology Services India Limited,,,,,[],,,,,,,,,,,,,,,,AmbitionBox
Virtusa Consulting Services,IT Services & Consulting,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Axis Direct,Financial Services,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
KEC International,Real Estate,,,,1945,Public,,,,,,,,,,,,,,,AmbitionBox
Hetero Drugs,Pharma,,,,1993,Private,,,,,,,,,,,,,,,AmbitionBox
LG Electronics,Consumer Electronics & Appliances,,,,1958,Public,,,,,,,,,,,,,,,AmbitionBox
Wipro Infotech,IT Services & Consulting,,,,1945,Private,,,,,,,,,,,,,,,AmbitionBox
Motherson Sumi Systems,Auto Components,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Sodexo,Facility Management Services,,,,2008,Private,,,,,,,,,,,,,,,AmbitionBox
Swiggy,Internet,,,,2014,Private,,,,,,,,,,,,,,,AmbitionBox
Thermax,Industrial Machinery,,,,1980,Public,,,,,,,,,,,,,,,AmbitionBox
Optum,Healthcare,,,,1977,Private,,,,,,,,,,,,,,,AmbitionBox
Abbott Healthcare,Pharma,,,,1991,Public,,,,,,,,,,,,,,,AmbitionBox
Intas Pharmaceuticals,Pharma,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Macleods Pharmaceuticals,Pharma,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Subros,Auto Components,,,,1985,Public,,,,,,,,,,,,,,,AmbitionBox
Automatic Data Processing (ADP),IT Services & Consulting,,,,1949,,,,,,,,,,,,,,,,AmbitionBox
VE Commercial Vehicles,Automobile,,,,2008,Private,,,,,,,,,,,,,,,AmbitionBox
Varun Beverages,Beverage,,,,1995,Public,,,,,,,,,,,,,,,AmbitionBox
Hindustan Coca Cola Beverages,Beverage,,,,1997,Private,,,,,,,,,,,,,,,AmbitionBox
Piramal Capital Housing Finance,NBFC,,,,2020,,,,,,,,,,,,,,,,AmbitionBox
L&T Technology Services,IT Services & Consulting,,,,2012,Public,,,,,,,,,,,,,,,AmbitionBox
Bel,Consumer Electronics & Appliances,,,,1954,Private,,,,,,,,,,,,,,,AmbitionBox
Randstad,,,,,1992,Private,,,,,,,,,,,,,,,AmbitionBox
Pidilite Industries,Chemicals / Agri Inputs,,,,1959,Public,,,,,,,,,,,,,,,AmbitionBox
CMS IT Services,IT Services & Consulting,,,,2014,Private,,,,,,,,,,,,,,,AmbitionBox
Indian Air Force,Defence & Aerospace,,,,1932,Private,,,,,,,,,,,,,,,AmbitionBox
CARS24,Internet,,,,2015,Private,,,,,,,,,,,,,,,AmbitionBox
Cgi Group,IT Services & Consulting,,,,1976,Private,,,,,,,,,,,,,,,AmbitionBox
American Express,Financial Services,,,,1850,Private,,,,,,,,,,,,,,,AmbitionBox
Alembic Pharmaceuticals,Pharma,,,,1907,Public,,,,,,,,,,,,,,,AmbitionBox
NatWest Group,Banking,,,,[],Government,,,,,,,,,,,,,,,AmbitionBox
Alkem Laboratories,Pharma,,,,1973,Public,,,,,,,,,,,,,,,AmbitionBox
Gati kwe,Logistics,,,,2012,Private,,,,,,,,,,,,,,,AmbitionBox
Havells,Electrical Equipment,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Glenmark Pharmaceuticals,Pharma,,,,1977,Public,,,,,,,,,,,,,,,AmbitionBox
ABB Group,Electrical Equipment,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
Deutsche Bank,Banking,,,,1870,Private,,,,,,,,,,,,,,,AmbitionBox
Shoppers Stop,Retail,,,,1991,Public,,,,,,,,,,,,,,,AmbitionBox
Simplex Infrastructures,Engineering & Construction,,,,1924,Public,,,,,,,,,,,,,,,AmbitionBox
Ipca Laboratories,Pharma,,,,1949,Public,,,,,,,,,,,,,,,AmbitionBox
Honda Motorcycle & Scooter,Automobile,,,,1999,Private,,,,,,,,,,,,,,,AmbitionBox
Atos,IT Services & Consulting,,,,1997,Private,,,,,,,,,,,,,,,AmbitionBox
DTDC Express,Logistics,,,,1990,Private,,,,,,,,,,,,,,,AmbitionBox
DCB Bank,Banking,,,,1930,Private,,,,,,,,,,,,,,,AmbitionBox
Reliance Nippon Life Insurance,Insurance,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Arvind Group,Fashion & Textile,,,,1931,Public,,,,,,,,,,,,,,,AmbitionBox
Hindalco Industries,Metals & Mining,,,,1958,Public,,,,,,,,,,,,,,,AmbitionBox
McDonald's,Hospitality,,,,1955,Private,,,,,,,,,,,,,,,AmbitionBox
Suzlon Group,Power,,,,1995,Public,,,,,,,,,,,,,,,AmbitionBox
Muthoot Group,NBFC,,,,1887,Public,,,,,,,,,,,,,,,AmbitionBox
Conduent,BPO,,,,2017,Private,,,,,,,,,,,,,,,AmbitionBox
Wipro Enterprises Ltd,IT Services & Consulting,,,,1945,,,,,,,,,,,,,,,,AmbitionBox
Standard Chartered Bank,Financial Services,,,,1969,Private,,,,,,,,,,,,,,,AmbitionBox
Team Lease,Recruitment,,,,2016,Public,,,,,,,,,,,,,,,AmbitionBox
Standard Chartered Bank,Financial Services,,,,1969,Private,,,,,,,,,,,,,,,AmbitionBox
24/7 Customer,Software Product,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Maersk,Logistics,,,,1904,Private,,,,,,,,,,,,,,,AmbitionBox
Vishal Mega Mart,Retail,,,,2008,Private,,,,,,,,,,,,,,,AmbitionBox
KocharTech,IT Services & Consulting,,,,1995,Private,,,,,,,,,,,,,,,AmbitionBox
Ekart Logistics,Logistics,,,,2009,Private,,,,,,,,,,,,,,,AmbitionBox
MRF Tyres,Auto Components,,,,1946,Public,,,,,,,,,,,,,,,AmbitionBox
Bajaj Electricals,Consumer Electronics & Appliances,,,,1938,Public,,,,,,,,,,,,,,,AmbitionBox
Titan Company,Other,,,,2018,Public,,,,,,,,,,,,,,,AmbitionBox
