company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Salini Costruttori Spa,Construction,VIA DEL LAURO 3,MILANO,ITALY,1972,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Amazon Web Services Emea Sarl,Services,VIALE MONTE GRAPPA 3/5,MILANO,ITALY,2017,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Allianz Spa,"Finance, Insurance, and Real Estate",PIAZZA TRE TORRI 3,MILANO,ITALY,1911,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Mediolanum Vita Spa,"Finance, Insurance, and Real Estate",VIA FRANCESCO SFORZA,MILANO,ITALY,1972,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Engie Italia Spa,Services,VIALE FULVIO TESTI 280,MILANO,ITALY,2000,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Enel Global Trading Spa,Wholesale Trade,VIALE REGINA MARGHERITA 125,ROMA,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Hera Trading Srl,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA MOLINO ROSSO 8,BOLOGNA,ITALY,2001,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Alleanza Assicurazioni Spa,"Finance, Insurance, and Real Estate",PIAZZA FIDIA 1,MILANO,ITALY,2009,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Marco Polo International Italy Srl,"Finance, Insurance, and Real Estate",VIA SAN PRIMO 4,MILANO,ITALY,2018,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Fincantieri Spa,Manufacturing,VIA GENOVA 1,TRIESTE,ITALY,1959,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Eurospin Italia Spa,"Finance, Insurance, and Real Estate",VIA CAMPALTO 3/D,VERONA,ITALY,1994,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
E-distribuzione Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA CARLO FELICE 35,SASSARI,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Saipem Spa,Construction,VIA MARTIRI DI CEFALONIA 67,MILANO,ITALY,1969,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Enel Produzione Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE REGINA MARGHERITA 125,ROMA,ITALY,1962,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Guccio Gucci Spa,Manufacturing,VIA DON LORENZO PEROSI 6,FIRENZE,ITALY,1939,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Pirelli & C. Spa,"Finance, Insurance, and Real Estate",VIALE PIERO E ALBERTO PIRELLI 25,MILANO,ITALY,1883,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Unicredit Allianz Vita Spa,"Finance, Insurance, and Real Estate",PIAZZA TRE TORRI 3,MILANO,ITALY,1995,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Acquirente Unico Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA GUIDUBALDO DEL MONTE 45,ROMA,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Volkswagen Group Italia Spa,Retail Trade,VIALE GERARD RICHARD GUMPERT 1,VERONA,ITALY,1984,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Versalis Spa,Manufacturing,PIAZZA MARCELLO BOLDRINI 1,MILANO,ITALY,1989,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
A. Menarini Industrie Farmaceutiche Riunite Srl,Manufacturing,VIA DEI SETTE SANTI 3,FIRENZE,ITALY,1886,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Barilla Holding Srl,"Finance, Insurance, and Real Estate",VIA MANTOVA 166,PARMA,ITALY,1978,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Guido M. Barilla E F.lli Sapa,"Finance, Insurance, and Real Estate",VIA MANTOVA 166,PARMA,ITALY,1984,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Cremonini Spa,"Finance, Insurance, and Real Estate",VIA MODENA 53,MODENA,ITALY,1966,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Cremofin Srl,"Finance, Insurance, and Real Estate",VIA MODENA 53,MODENA,ITALY,1985,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Societa' Europea Veicoli Leggeri Sevel Spa,Manufacturing,VIALE AVVOCATO GIOVANNI AGNELLI 10,CHIETI,ITALY,1978,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Ferrari - Societa'per Azioni Esercizio Fabbriche Automobili E Corse,Manufacturing,VIA ABETONE INFERIORE 2,MODENA,ITALY,1947,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Credit Agricole Vita Spa,"Finance, Insurance, and Real Estate",STRADA DELL'UNIVERSITA' 1,PARMA,ITALY,1988,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Sonatrach Raffineria Italiana Srl,Manufacturing,CONTRADA MARCELLINO C.P. 88 SNC,SIRACUSA,ITALY,2018,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Coop Alleanza 3.0 Soc Coop,Retail Trade,VIA VILLANOVA 29/7,BOLOGNA,ITALY,1923,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Chimet Spa,Manufacturing,VIA DEI LAGHI 31/33,AREZZO,ITALY,1974,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Riva Forni Elettrici Spa,"Finance, Insurance, and Real Estate",VIALE CERTOSA 249,MILANO,ITALY,2012,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Nuovo Pignone Holding Spa,"Finance, Insurance, and Real Estate",VIA FELICE MATTEUCCI 2,FIRENZE,ITALY,1954,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Zeor Finanziaria Spa,"Finance, Insurance, and Real Estate",VIA DI PORTA PINCIANA 4,ROMA,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
