,,name_sim,website_exact,year_sim,employees_sim
23,15,0.8719298245614036,0,1.2032974614762255e-14,0.0
34,6,0.9272727272727272,0,4.89588126206552e-06,0.0
61,38,0.9076923076923077,0,1.52587890625e-05,0.0
82,29,0.9,0,3.3175781878516013e-26,0.0
90,89,1.0,0,1.0,0.0
97,15,0.8608036890645586,0,0.5,0.0
98,25,0.8798756798756798,0,1.2032974614762255e-14,0.0
109,5,0.9111111111111111,0,3.76158192263132e-37,0.0
147,25,0.8583732057416269,0,5.7377694200335765e-21,0.0
148,146,0.92,0,2.758008936123966e-33,0.0
177,154,0.8595849802371541,0,0.0001255021761054768,0.0
182,58,0.8761363636363637,0,3.2779131115810054e-17,0.0
192,137,0.8518518518518517,0,0.0001255021761054768,0.0
198,114,0.8727272727272728,0,0.00033120222838077957,0.0
206,148,0.8977156177156177,0,1.0,0.0
211,209,1.0,0,1.0,0.0
241,21,0.8687512899896801,0,0.8950250709279725,0.0
257,20,0.9204487179487179,0,0.9726549474122855,0.0
257,97,0.8601588628762542,0,0.5,0.0
294,15,0.8884615384615385,0,1.0,0.0
294,20,0.8584615384615384,0,0.9726549474122855,0.0
300,299,1.0,0,0.0,0.0
307,107,0.8548504983388705,0,0.0,0.0
326,234,0.869561403508772,0,0.0,0.0
340,135,0.9183333333333333,0,3.76158192263132e-37,0.0
344,314,0.8533333333333333,0,0.2570284566640167,0.0
346,20,0.8666666666666666,0,1.0,0.0
347,227,0.8583333333333334,0,3.1146107875308683e-41,0.0
353,249,0.9215686274509803,0,0.004364402883094612,0.0
354,287,0.8666666666666667,0,0.641712948781452,0.0
362,59,0.8560606060606061,0,0.7791645796604999,0.0
366,25,0.9157894736842105,0,0.018453010334836414,0.0
401,333,0.8742857142857143,0,3.76158192263132e-37,0.0
418,230,0.8787878787878788,0,0.2570284566640167,0.0
456,258,0.8541176470588235,0,0.2570284566640167,0.0
456,429,0.8533333333333333,0,0.00033120222838077957,0.0
458,20,0.8523076923076923,0,0.3685673043227753,0.0
458,201,0.8634432234432234,0,1.0,0.0
458,346,0.857948717948718,0,0.3685673043227753,0.0
470,140,0.9,0,0.5,0.0
476,222,0.8561904761904762,0,2.926047721682624e-98,0.0
492,386,0.8666666666666666,0,0.0,0.0
494,433,0.8823529411764706,0,0.9726549474122855,0.0
494,438,0.8823529411764706,0,0.034915223064756855,0.0
497,378,0.8745098039215686,0,4.097391389476277e-18,0.0
498,200,0.9249999999999999,0,1.0053823416929744e-87,0.0
500,199,0.8704545454545455,0,0.034915223064756855,0.0
503,159,0.8671023965141612,0,0.034915223064756855,0.0
521,433,0.8671023965141612,0,0.004364402883094612,0.0
521,438,0.8671023965141612,0,1.1594950525907112e-07,0.0
523,293,0.8666666666666667,0,0.641712948781452,0.0
569,7,0.8857142857142858,0,0.0,0.0
570,7,0.8857142857142858,0,0.0,0.0
570,569,1.0,0,0.0,0.0
571,453,0.8925,0,0.004364402883094612,0.0
572,361,0.9,0,0.0,0.0
583,368,0.874074074074074,0,0.3685673043227753,0.0
592,24,0.8564102564102564,0,1.2032974614762255e-14,0.0
599,368,0.8952380952380953,0,0.5,0.0
