id_left,id_right,name_sim,industry_exact,city_exact,company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,normalized_pair
20632,10698,0.8709090909090909,0,0,Accelerate Diagnostics,['Diagnostics and Testing'],,Accelerant,Other,Colchester,"('accelerant', 'accelerate diagnostics')"
21154,8661,0.8727142857142857,0,0,American Public Education,['Education'],,American Precoat,Iron & Steel,,"('american precoat', 'american public education')"
21306,18126,0.8597402597402598,0,0,Park Aerospace,['Aerospace'],,Park Avenue,Personal Care/Men’s Shoes,,"('park aerospace', 'park avenue')"
21379,5124,0.8648829431438128,0,0,Marathon Gold,"['Mining', 'Gold mining']",,Marathon Electric India,Semiconductors,,"('marathon electric india', 'marathon gold')"
21591,5109,0.8507070707070707,0,0,Mahindra Logistics,,,Mahindra Retail,Retail,,"('mahindra logistics', 'mahindra retail')"
22257,10446,0.8483333333333334,0,0,Docgo,['Healthcare'],,Dock,Fintech,Sao Paulo,"('docgo', 'dock')"
22476,9632,0.9023931623931624,0,0,Global Partners Lp,"['Oil&Gas', 'Energy']",,Global Payments,FinTech,,"('global partners lp', 'global payments')"
22476,12724,0.9023931623931624,0,0,Global Partners Lp,"['Oil&Gas', 'Energy']",,Global Payments,,,"('global partners lp', 'global payments')"
22476,18773,0.9023931623931624,0,0,Global Partners Lp,"['Oil&Gas', 'Energy']",,Global Payments,"['Financial services', 'Tech']",,"('global partners lp', 'global payments')"
22753,14259,0.85,0,0,Cargojet,"['Airlines', 'Transportation']",,Cargoair,Industrials,,"('cargoair', 'cargojet')"
22875,17481,0.8678571428571429,0,0,Biotest,,,Biotherm,Skincare Product,,"('biotest', 'biotherm')"
22893,7888,0.8571428571428571,0,0,Piramal Pharma,"['Pharmaceuticals', 'Biotech']",,Piramal Realty,Real Estate,,"('piramal pharma', 'piramal realty')"
23424,735,0.8487299465240642,0,0,Fortis Healthcare,['Healthcare'],,Fortis Hospitals,Healthcare / Pharma,,"('fortis healthcare', 'fortis hospitals')"
23505,13890,0.8875,0,0,Kyndryl,['IT services'],,Kyndryl Holdings,,,"('kyndryl', 'kyndryl holdings')"
23926,18139,0.8564102564102564,0,0,Harvey Norman,"['Retail', 'Furniture']",,Harvey Fresh,Fruit Juice,,"('harvey fresh', 'harvey norman')"
23946,3764,0.888,0,0,Weatherford International,"['Energy', 'Oil&Gas']",,Weatherford,Oil & Gas,,"('weatherford', 'weatherford international')"
23964,10908,0.8714285714285714,0,0,Clicks Group,"['Retail', 'Pharmaceuticals', 'Drugstore']",,ClickUp,Internet software & services,San Diego,"('clicks group', 'clickup')"
24258,17453,0.890909090909091,0,0,Midea Group,,,Midea,White Goods,,"('midea', 'midea group')"
24258,18458,0.890909090909091,0,0,Midea Group,,,Midea,"['Home & Kitchen Appliances', 'Manufacturing']",,"('midea', 'midea group')"
24460,16458,0.8678571428571429,0,0,Ericsson,,,Ericpol,Technology,,"('ericpol', 'ericsson')"
24559,11956,0.8933333333333334,0,0,Cummins,,,Cummins Careers,Automotive,Columbus,"('cummins', 'cummins careers')"
24732,22476,0.9023931623931624,0,0,Global Payments,,,Global Partners Lp,"['Oil&Gas', 'Energy']",,"('global partners lp', 'global payments')"
24766,2996,0.8685314685314686,0,0,Tata Motors,,,Tata Metaliks,Iron & Steel,,"('tata metaliks', 'tata motors')"
24766,2999,0.8685314685314686,0,0,Tata Motors,,,Tata Metaliks,Iron & Steel,,"('tata metaliks', 'tata motors')"
25221,4152,0.87,0,0,Razor Labs,,Tel Aviv,Razorpay,Financial Services,,"('razor labs', 'razorpay')"
25221,4179,0.87,0,0,Razor Labs,,Tel Aviv,Razorpay,Financial Services,,"('razor labs', 'razorpay')"
25221,11034,0.87,0,0,Razor Labs,,Tel Aviv,Razorpay,Fintech,Bengaluru,"('razor labs', 'razorpay')"
25408,6634,0.8702777777777777,0,0,Groupe Tera SACA,,Crolles,Groupe Seb,Consumer Electronics & Appliances,,"('groupe seb', 'groupe tera saca')"
25702,13172,0.9052631578947368,0,0,BAIC Motor Corp Ltd,,Beijing,BAIC Motor,,,"('baic motor', 'baic motor corp ltd')"
26755,11125,0.8666666666666666,0,0,Amadeus Fire AG,,Frankfurt am Main,Amadeus Careers,Information Technology & Services,Madrid,"('amadeus careers', 'amadeus fire ag')"
26786,21707,0.90625,0,0,Borussia Dortmund GmbH & Co KGaA,,Dortmund,Borussia Dortmund,['Football'],,"('borussia dortmund', 'borussia dortmund gmbh & co kgaa')"
26787,12649,0.8474999999999999,0,0,Heidelberg Pharma AG,,Ladenburg,HeidelbergCement,,,"('heidelberg pharma ag', 'heidelbergcement')"
26787,15113,0.8474999999999999,0,0,Heidelberg Pharma AG,,Ladenburg,HeidelbergCement,Industrials,,"('heidelberg pharma ag', 'heidelbergcement')"
26787,24657,0.8474999999999999,0,0,Heidelberg Pharma AG,,Ladenburg,HeidelbergCement,,,"('heidelberg pharma ag', 'heidelbergcement')"
27541,21256,0.8558823529411764,0,0,Grindrod Ltd,,Durban,Grindrod Shipping,"['Transportation', 'Maritime transportation']",,"('grindrod ltd', 'grindrod shipping')"
29184,23270,0.89,0,0,Interroll Holding AG,,Sant'Antonino,Interroll,['Manufacturing'],,"('interroll', 'interroll holding ag')"
29700,10087,0.8858823529411766,0,0,Firefly AB,,Stockholm,Firefly Aerospace,Other,Cedar Park,"('firefly ab', 'firefly aerospace')"
29795,21978,0.9,0,0,Merus N.V.,,Utrecht,Merus,"['Biotech', 'Pharmaceuticals']",,"('merus', 'merus n.v.')"
30022,9809,0.8382558617852736,0,0,Kothari Petrochemicals Ltd,,Chennai,Kothari Medical Centre,Healthcare,,"('kothari medical centre', 'kothari petrochemicals ltd')"
30022,9846,0.8382558617852736,0,0,Kothari Petrochemicals Ltd,,Chennai,Kothari Medical Centre,Healthcare,,"('kothari medical centre', 'kothari petrochemicals ltd')"
30137,23332,0.8833333333333334,0,0,1&1 AG,,Maintal,1&1,"['Telecommunication', 'Internet']",,"('1&1', '1&1 ag')"
